HIT_nb,Video_name,Actions,Worker_1,Worker_GT,Same_results
0,7mini_45.mp4,talking about them,1,1,x
0,7mini_45.mp4,leave my eyebrows all natural,1,1,x
0,7mini_45.mp4,give my cheeks some peachy flush so here,0,0,x
0,7mini_45.mp4,"put on my favorite tinted lip balm , which ,",1,1,x
0,7mini_45.mp4,surprise surprise,1,1,x
0,7mini_45.mp4,made myself,1,1,x
0,3mini_5.mp4,take him on a walk you just,0,0,x
0,3mini_5.mp4,smile when you,1,1,x
0,3mini_5.mp4,look at him,1,1,x
0,3mini_5.mp4,getting outside for the first time,1,1,x
0,3mini_5.mp4,get in the car,0,0,x
0,3mini_5.mp4,head to our favorite place,0,0,x
1,7mini_29.mp4,topping mine with some cream cheese and sliced avocado,0,0,x
1,7mini_29.mp4,making myself a berry and granola yogurt,0,0,x
1,7mini_29.mp4,add some delicious blueberries,0,0,x
1,7mini_29.mp4,pour in my favorite granola,0,0,x
1,7mini_29.mp4,"Add another layer of yogurt , and top the healthy mix with yummy strawberries",0,0,x
1,7mini_31.mp4,check my social media,1,1,x
1,7mini_31.mp4,answer to you guys,1,1,x
1,7mini_31.mp4,Let me just,1,1,x
1,7mini_31.mp4,make it at home,1,1,x
1,7mini_31.mp4,put the jar lid on,1,1,x
1,7mini_31.mp4,take it with you to school or work,1,1,x
7,7mini_36.mp4,paint my nails every weekend morning,0,0,x
7,7mini_36.mp4,filming later that day,1,1,x
7,7mini_36.mp4,", and",1,1,x
7,7mini_36.mp4,listen to some music,1,1,x
7,7mini_36.mp4,paint my nails,0,0,x
7,7mini_36.mp4,went for this purple shade on all the nails except my ring finger,0,0,x
7,1mini_8.mp4,make these,1,1,x
7,1mini_8.mp4,offer it to him if he,1,1,x
7,1mini_8.mp4,asks me for a snack if he,1,1,x
7,1mini_8.mp4,finish it all I,1,1,x
7,1mini_8.mp4,put it back in the refrigerator,1,1,x
7,1mini_8.mp4,go on hand,1,1,x
7,1mini_15.mp4,strain the seeds,1,1,x
7,1mini_15.mp4,looking back that,1,1,x
7,1mini_15.mp4,do if I ever,1,1,x
7,1mini_15.mp4,make this again in the future which I,1,1,x
7,2mini_21.mp4,has a channel too in case you,1,1,x
7,2mini_21.mp4,seen his,1,1,x
7,2mini_21.mp4,so check his out I just,1,1,x
7,2mini_21.mp4,give him a little shout out Byron Talbott,1,1,x
7,2mini_21.mp4,see you guys very soon,1,1,x
7,6mini_2.mp4,make sure your skin,1,1,x
7,6mini_2.mp4,cleansed before you,0,0,x
7,6mini_2.mp4,do all that,1,1,x
7,6mini_2.mp4,absorbing all that serum when there,1,1,x
7,6mini_2.mp4,move on,1,1,x
18,7mini_26.mp4,baking sheet,1,1,x
18,7mini_26.mp4,Flat the mixture down with a spatula,0,0,x
18,7mini_26.mp4,making sure,1,1,x
18,7mini_26.mp4,Place them in the oven preheated at around 300 Fahrenheit or 160 degrees Celsius,0,0,x
18,6mini_17.mp4,understand whether it,1,1,x
18,6mini_17.mp4,growing in my tub,1,1,x
18,6mini_17.mp4,followed me,1,1,x
18,6mini_17.mp4,get in the tub,0,0,x
18,6mini_17.mp4,drink a bunch of water,0,0,x
18,1mini_22.mp4,go ahead,1,1,x
18,1mini_22.mp4,see the color,1,1,x
18,1mini_22.mp4,come out the cheese,1,1,x
18,1mini_22.mp4,see that the cheese,1,1,x
18,1mini_22.mp4,make its appearance as it,1,1,x
18,1mini_13.mp4,seems like an eternity in the oven,1,1,x
18,1mini_13.mp4,take it out,0,0,x
18,1mini_13.mp4,dehydrated at that point which,1,1,x
18,1mini_13.mp4,pull it right off the baking sheet,0,0,x
20,4mini_4.mp4,tested the products myself before,0,0,x
20,4mini_4.mp4,providing them to you guys,1,1,x
20,4mini_4.mp4,gone through the entire packet of their original one it,1,1,x
20,4mini_4.mp4,tried the Malibu one,0,0,x
20,7mini_10.mp4,make colorful hearts all over this jar,0,0,x
20,7mini_10.mp4,use my jar,0,0,x
20,7mini_10.mp4,drink but this,1,1,x
20,7mini_10.mp4,"Use it for pencil holders on your desk , as a vase for flowers , whatever you",1,1,x
20,7mini_10.mp4,done just,1,1,x
20,1mini_17.mp4,treat if they or you,1,1,x
20,1mini_17.mp4,used the potty,1,1,x
20,1mini_17.mp4,divided them I,0,0,x
20,1mini_17.mp4,give them all to him at once,1,1,x
20,4mini_19.mp4,get into bed,0,0,x
20,4mini_19.mp4,snuggles free,0,0,x
20,4mini_19.mp4,book the drink,1,1,x
20,4mini_19.mp4,relax I,0,0,x
20,4mini_19.mp4,hope you guys,1,1,x
20,4mini_19.mp4,see you next time,1,1,x
29,4mini_10.mp4,hope I,1,1,x
29,4mini_10.mp4,jinx myself,1,1,x
29,4mini_10.mp4,shave my legs,0,0,x
29,4mini_10.mp4,rinse my hair in the shower just,1,1,x
29,7mini_19.mp4,run enough today,1,1,x
29,7mini_19.mp4,head home,0,0,x
29,7mini_19.mp4,take a quick shower first,0,0,x
29,7mini_19.mp4,"put on my favorite red robe , which I basically",0,0,x
29,7mini_19.mp4,live in,1,1,x
29,7mini_19.mp4,brush my hair,0,0,x
29,7mini_19.mp4,"loving the heatless waves , which",1,1,x
29,4mini_18.mp4,finish off by,1,1,x
29,4mini_18.mp4,using some of their body oil which I,0,0,x
29,4mini_18.mp4,gon just before I,1,1,x
29,4mini_18.mp4,use just the moisturize my body,0,0,x
29,4mini_18.mp4,get into bed,0,0,x
29,4mini_18.mp4,chew out snowballs,1,1,x
29,1mini_40.mp4,making them at home,0,0,x
29,1mini_40.mp4,controlling the ingredients that,0,0,x
29,1mini_40.mp4,go in there,1,1,x
29,1mini_40.mp4,starting again with a food processor I,0,0,x
29,1mini_40.mp4,frozen berries that I,1,1,x
29,1mini_40.mp4,sitting out for a little bit,1,1,x
44,4mini_9.mp4,couple my legs,1,1,x
44,4mini_9.mp4,pick some,0,0,x
44,4mini_9.mp4,chilled out music,1,1,x
44,4mini_9.mp4,sit in the bath,0,0,x
44,4mini_9.mp4,check social meter in the bath,0,0,x
44,4mini_9.mp4,actually dropped my phone in the bath yet,1,1,x
44,4mini_15.mp4,make my hair amazing I,1,1,x
44,4mini_15.mp4,using it for about a month or,1,1,x
44,4mini_15.mp4,putting on a bit of Oprah or Wonder,0,0,x
44,4mini_15.mp4,lash to my neck,1,1,x
